'goals','hat_y_g','hat_y_xG'
2.0,1.57998,1.4
0.0,1.2225,1.0
0.0,1.1225,0.9
3.0,1.56,2.1
0.0,1.091,0.7
1.0,0.95850,1.1
0.0,1.9665,1.1
1.0,1.775,2.1
5.0,1.361,0.6
1.0,1.05949,1.0
2.0,1.232,1.1
0.0,2.58297,2.6
0.0,1.505,1.7
2.0,1.42,1.1
1.0,1.103,1.2
1.0,1.6595,1.9
2.0,2.141,3.2
0.0,1.71850,1.8
2.0,1.3385,1.4
3.0,1.84350,2.7
3.0,1.22800,1.7
1.0,1.155,1.7
2.0,1.259,1.3
2.0,1.46650,1.6
2.0,1.842,2.0
1.0,1.241,1.1
1.0,1.4145,1.1
2.0,1.432,1.2
1.0,1.125,1.0
1.0,1.3555,1.9
3.0,1.4045,1.0
2.0,1.383,1.5
8.0,1.80598,1.5
2.0,1.565,1.9
5.0,1.8105,1.5
1.0,1.92800,2.2
2.0,3.0305,2.5
2.0,1.3475,1.7
1.0,2.1575,2.0
3.0,1.60098,1.9
2.0,1.19197,1.1
2.0,1.28,1.0
2.0,2.1285,1.0
0.0,1.597,1.3
1.0,1.12600,1.3
1.0,1.088,0.4
1.0,1.244,0.7
1.0,1.55650,1.6
2.0,1.127,2.0
3.0,1.5735,0.8
2.0,1.36399,1.4
1.0,1.05749,1.4
4.0,1.7,2.1
2.0,1.0665,1.5
1.0,1.435,0.8
2.0,1.652,2.1
1.0,1.0865,1.3
2.0,1.6435,1.6
1.0,1.3455,1.6
